poiID,lat,long,pokemon,tempovisita,qoeid
154,-16.6880441,-49.2664811,976,88,33
155,-16.692452,-49.2651655,656,156,50
156,-16.6919417,-49.2537569,340,165,10
157,-16.6915069,-49.2819656,8,148,21
158,-16.6913733,-49.2820166,138,64,6
159,-16.7053852,-49.277261,184,173,16
160,-16.675865,-49.2838459,131,63,30
161,-16.6726558,-49.2540894,209,85,44
162,-16.6728922,-49.2543013,487,71,41
163,-16.6721214,-49.2546232,604,118,41
164,-16.6720931,-49.2559294,410,114,38
165,-16.6729539,-49.2631729,674,83,1
166,-16.673911,-49.2652703,721,63,22
167,-16.6733967,-49.2554702,956,132,15
168,-16.6753875,-49.2593275,161,63,12
169,-16.6738786,-49.2596705,202,109,37
170,-16.6707082,-49.2354025,265,119,34
171,-16.6798167,-49.2656364,1064,65,10
172,-16.6875221,-49.2650785,149,94,21
173,-16.6869337,-49.2640214,227,116,34
174,-16.6906719,-49.2629702,567,164,1
175,-16.6865516,-49.2658424,683,157,44
176,-16.6733022,-49.230154,742,66,39
177,-16.6896406,-49.2621572,1002,116,41
178,-16.68433,-49.250925,42,180,38
179,-16.692256,-49.2471081,190,127,4
180,-16.6962276,-49.2848834,734,128,32
181,-16.6936587,-49.2806293,557,69,15
182,-16.6949204,-49.2765802,1081,85,21
183,-16.6945953,-49.2773068,157,136,10
184,-16.6893199,-49.2743294,788,127,31
185,-16.6902704,-49.2827527,945,160,48
186,-16.6700179,-49.2794745,806,65,28
187,-16.6933765,-49.2469799,155,75,13
188,-16.7077917,-49.2833364,250,134,50
189,-16.7077255,-49.2804758,11,70,7
190,-16.7072763,-49.2805426,612,134,49
191,-16.7069812,-49.2795481,1059,175,45
192,-16.7017359,-49.2613211,551,77,12
193,-16.7026209,-49.2615833,97,180,10
194,-16.7061839,-49.2637971,520,104,22
195,-16.7067077,-49.2652401,357,105,26
196,-16.7066941,-49.2674631,763,180,25
197,-16.7061498,-49.2684881,157,106,13
198,-16.7052784,-49.2716727,393,167,36
199,-16.704468,-49.2728043,420,86,10
200,-16.7039197,-49.2752292,570,131,6
201,-16.7078346,-49.283549,856,92,43
202,-16.6804818,-49.2557922,872,71,5
203,-16.697166,-49.2694859,1097,97,13
204,-16.6742358,-49.2756449,304,123,45
205,-16.6958658,-49.2578482,1020,142,10
206,-16.7047121,-49.2679685,959,176,17
207,-16.6969379,-49.2694463,952,69,48
208,-16.7029909,-49.2458783,645,139,18
209,-16.6898618,-49.2309912,189,77,3
210,-16.70166,-49.2651439,246,142,4
211,-16.6820874,-49.2774047,100,71,16
212,-16.694092,-49.2586346,466,122,41
213,-16.6734729,-49.2834356,625,114,45
214,-16.6975252,-49.2742301,292,71,20
