poi_origem,poi_destino,tdeslocamento_s,tdeslocamento_min
2,164,161152.42,2685.87
2,165,136056.78,2267.61
2,166,127159.39,2119.32
2,167,152948.07,2549.13
2,168,122520.26,2042
2,169,134095.1,2234.92
2,170,293799.74,4896.66
2,171,75229,1253.82
2,172,7625.97,127.1
2,173,12653.04,210.88
2,174,25584.53,426.41
2,175,18403.52,306.73
2,176,322585.26,5376.42
2,177,24229.86,403.83
2,178,121824.15,2030.4
2,179,153524.98,2558.75
2,180,187076.41,3117.94
2,181,145029.98,2417.17
2,182,118153.53,1969.23
2,183,122213.06,2036.88
2,184,83625.49,1393.76
2,185,156044.83,2600.75
2,186,205488.31,3424.81
2,187,157167.2,2619.45
2,188,235750.27,3929.17
2,189,219445.12,3657.42
2,190,216687.42,3611.46
2,191,209377.12,3489.62
2,192,122732.33,2045.54
2,193,129916.61,2165.28
2,194,159053.69,2650.89
2,195,163638.28,2727.3
2,196,165245.35,2754.09
2,197,162042.14,2700.7
2,198,162522.29,2708.7
2,199,159871.48,2664.52
2,200,165880.5,2764.67
2,201,237263.84,3954.4
2,202,101940.5,1699.01
2,203,89348.49,1489.14
2,204,155918.38,2598.64
2,205,88759.53,1479.33
2,206,148675.44,2477.92
2,207,87405.91,1456.77
2,208,206435.9,3440.6
2,209,287345.42,4789.09
2,210,118915.28,1981.92
2,211,122216.17,2036.94
2,212,72628.05,1210.47
2,213,207391.4,3456.52
2,214,116266.48,1937.77
3,4,87003.28,1450.05
3,5,8460.35,141.01
3,6,54146.69,902.44
3,7,22920.37,382.01
3,8,14279.28,237.99
3,9,256230.58,4270.51
3,10,244120.21,4068.67
3,11,311919.49,5198.66
3,12,334648.53,5577.48
3,13,90756.85,1512.61
3,14,87738.63,1462.31
3,15,55717.05,928.62
3,16,101325.98,1688.77
3,17,172625.87,2877.1
3,18,175576.08,2926.27
3,19,105276.69,1754.61
3,20,123245.41,2054.09
3,21,133428.54,2223.81
3,22,228924.85,3815.41
3,23,163825.18,2730.42
3,24,53592.47,893.21
3,25,165518.49,2758.64
3,26,96915.87,1615.26
3,27,276537.84,4608.96
3,28,145306.07,2421.77
3,29,211605.75,3526.76
3,30,249783.56,4163.06
3,31,247571.23,4126.19
3,32,247069.35,4117.82
3,33,225831.25,3763.85
3,34,238400.89,3973.35
3,35,241074.98,4017.92
3,36,216409.6,3606.83
3,37,246855.77,4114.26
3,38,254993.88,4249.9
3,39,256524.99,4275.42
3,40,141030.12,2350.5
3,41,141287.81,2354.8
3,42,143060.16,2384.34
3,43,275880.6,4598.01
3,44,256818.57,4280.31
3,45,140615.85,2343.6
3,46,256707.45,4278.46
3,47,141966.84,2366.11
3,48,341479.1,5691.32
3,49,141912.39,2365.21
3,50,259139.89,4319
3,51,255063.43,4251.06
3,52,130863.08,2181.05
3,53,141230.11,2353.84
3,54,350670.79,5844.51
3,55,239735.42,3995.59
3,56,303288.27,5054.8
3,57,308471.03,5141.18
3,58,141746.11,2362.44
3,59,65717.5,1095.29
3,60,260425.18,4340.42
3,61,239061.23,3984.35
3,62,223595.57,3726.59
3,63,234341.8,3905.7
3,64,204494.6,3408.24
3,65,151101.61,2518.36
3,66,156725.72,2612.1
3,67,86463.42,1441.06
3,68,233795.68,3896.59
3,69,170925.73,2848.76
3,70,40592.2,676.54
3,71,300207.78,5003.46
3,72,11730.06,195.5
3,73,27014.91,450.25
3,74,294420.34,4907.01
3,75,204288.53,3404.81
3,76,97971.95,1632.87
3,77,133356.8,2222.61
3,78,162637.16,2710.62
3,79,177591.53,2959.86
3,80,147785.63,2463.09
3,81,93054.43,1550.91
3,82,70669.5,1177.83
3,83,71599.61,1193.33
3,84,132001.66,2200.03
3,85,131873.5,2197.89
3,86,263815.47,4396.92
3,87,208108.78,3468.48
3,88,168423.85,2807.06
3,89,120969.68,2016.16
3,90,130826.1,2180.43
3,91,188871.77,3147.86
3,92,239760.74,3996.01
3,93,227971.25,3799.52
3,94,62298.05,1038.3
3,95,282084.15,4701.4
3,96,215670.93,3594.52
3,97,196661.98,3277.7
3,98,206332.21,3438.87
3,99,223841.63,3730.69
3,100,314635.94,5243.93
3,101,89889,1498.15
3,102,170142.24,2835.7
3,103,162836.61,2713.94
3,104,148018.18,2466.97
3,105,310275.05,5171.25
3,106,115388.03,1923.13
3,107,173593.17,2893.22
3,108,187569.29,3126.15
3,109,184270.54,3071.18
3,110,137807.68,2296.79
3,111,392505.2,6541.75
3,112,387380.38,6456.34
3,113,304021.99,5067.03
3,114,88396.29,1473.27
3,115,170789.52,2846.49
3,116,190943.28,3182.39
3,117,85954.82,1432.58
3,118,189292.71,3154.88
3,119,102383.67,1706.39
3,120,104404.24,1740.07
3,121,101055.09,1684.25
3,122,94508.27,1575.14
3,123,90997.56,1516.63
3,124,90804.91,1513.42
3,125,91417.16,1523.62
3,126,92266.88,1537.78
3,127,90183.56,1503.06
3,128,107081.6,1784.69
3,129,83965.06,1399.42
3,130,156399.47,2606.66
3,131,201206.32,3353.44
3,132,219956.73,3665.95
3,133,324114.65,5401.91
3,134,160673.17,2677.89
3,135,95736.98,1595.62
3,136,6832.33,113.87
3,137,217458.6,3624.31
3,138,75573.3,1259.56
3,139,128118.26,2135.3
3,140,114487.9,1908.13
3,141,113572.58,1892.88
3,142,86778.43,1446.31
3,143,207121.56,3452.03
3,144,143407.53,2390.13
3,145,99458.36,1657.64
3,146,146792.19,2446.54
3,147,154409.75,2573.5
3,148,200911.97,3348.53
3,149,11568.52,192.81
3,150,89952.94,1499.22
3,151,55160.67,919.34
3,152,103597.46,1726.62
3,153,70987.49,1183.12
3,154,77058.72,1284.31
3,155,117263.3,1954.39
3,156,160928.61,2682.14
3,157,164443.59,2740.73
3,158,164005,2733.42
3,159,245290.64,4088.18
3,160,144052.26,2400.87
3,161,128214.63,2136.91
3,162,125642.28,2094.04
3,163,126540.61,2109.01
3,164,117214.23,1953.57
3,165,67390.06,1123.17
3,166,51773.25,862.89
3,167,114723.01,1912.05
3,168,77360.07,1289.33
3,169,81958.85,1365.98
3,170,283697.43,4728.29
3,171,15351.02,255.85
3,172,74680.97,1244.68
3,173,72727.5,1212.13
3,174,106812.54,1780.21
3,175,64795.03,1079.92
3,176,322433.4,5373.89
3,177,101176.2,1686.27
3,178,147165.94,2452.77
3,179,207261.37,3454.36
3,180,211184.95,3519.75
3,181,169664.01,2827.73
3,182,158454.83,2640.91
3,183,159176.4,2652.94
3,184,106130.26,1768.84
3,185,162877.93,2714.63
3,186,132533.24,2208.89
3,187,213773.75,3562.9
3,188,286164.91,4769.42
3,189,274836.7,4580.61
3,190,271441.82,4524.03
3,191,265628.49,4427.14
3,192,204630.85,3410.51
3,193,211691.94,3528.2
3,194,239356.32,3989.27
3,195,242723.23,4045.39
3,196,241915.93,4031.93
3,197,237281.59,3954.69
3,198,232284.18,3871.4
3,199,226970.64,3782.84
3,200,227437.79,3790.63
3,201,287367.07,4789.45
3,202,99415.49,1656.92
3,203,158520.92,2642.02
3,204,84074.29,1401.24
3,205,167129.64,2785.49
3,206,224410.95,3740.18
3,207,156474.68,2607.91
3,208,278265.09,4637.75
3,209,324283.66,5404.73
3,210,198233.51,3303.89
3,211,88892.2,1481.54
3,212,150143.78,2502.4
3,213,146802.67,2446.71
3,214,170999.1,2849.99
4,5,80019.2,1333.65
4,6,37153.06,619.22
4,7,64100,1068.33
4,8,72728.69,1212.14
4,9,170772.73,2846.21
4,10,158615.85,2643.6
4,11,241450.41,4024.17
4,12,264288.68,4404.81
4,13,60243.37,1004.06
4,14,82052.78,1367.55
4,15,40057.03,667.62
4,16,29279.21,487.99
4,17,93541.84,1559.03
4,18,97333.51,1622.23
4,19,20605,343.42
4,20,96493.5,1608.22
4,21,105717.75,1761.96
4,22,160766.92,2679.45
4,23,82061.34,1367.69
4,24,34688,578.13
4,25,84302.94,1405.05
4,26,65353.24,1089.22
4,27,191093.05,3184.88
4,28,152226.3,2537.11
4,29,127175.24,2119.59
4,30,171275.9,2854.6
4,31,169578.79,2826.31
4,32,168186.92,2803.12
4,33,143975.67,2399.59
4,34,165196.85,2753.28
4,35,167342.48,2789.04
4,36,131868.69,2197.81
4,37,168818.92,2813.65
4,38,180738.53,3012.31
4,39,182299.38,3038.32
4,40,56237.46,937.29
4,41,56320.14,938.67
4,42,58521.59,975.36
4,43,209981.35,3499.69
4,44,182424.81,3040.41
4,45,57329.71,955.5
4,46,181685.99,3028.1
4,47,57402.54,956.71
4,48,271435.12,4523.92
4,49,56777.52,946.29
4,50,184343.72,3072.4
4,51,181107.77,3018.46
4,52,66815.36,1113.59
4,53,56649.35,944.16
4,54,280271.86,4671.2
4,55,168866.12,2814.44
4,56,233877.1,3897.95
4,57,237299.77,3955
4,58,209289.11,3488.15
4,59,152679.78,2544.66
4,60,277543.65,4625.73
4,61,261610.9,4360.18
4,62,140255.03,2337.58
4,63,150395.81,2506.6
4,64,120670.33,2011.17
4,65,84346.66,1405.78
4,66,82861.29,1381.02
4,67,2496.12,41.6
4,68,150048.66,2500.81
4,69,149369.9,2489.5
4,70,115267.05,1921.12
4,71,253999.05,4233.32
4,72,76099.88,1268.33
4,73,66171.73,1102.86
4,74,248973.13,4149.55
4,75,132905.17,2215.09
4,76,141787.59,2363.13
4,77,55624.07,927.07
4,78,76472.77,1274.55
4,79,97439.13,1623.99
4,80,84740.88,1412.35
4,81,137950.88,2299.18
4,82,23144.72,385.75
4,83,22526.29,375.44
4,84,131714.43,2195.24
4,85,137583.97,2293.07
4,86,267658.19,4460.97
4,87,121282.71,2021.38
4,88,197658.7,3294.31
4,89,35329.51,588.83
4,90,119198.61,1986.64
4,91,103172.77,1719.55
4,92,154146.82,2569.11
4,93,226421.37,3773.69
4,94,30055.24,500.92
4,95,212350.52,3539.18
4,96,221551.83,3692.53
4,97,203415.34,3390.26
4,98,210632.76,3510.55
4,99,137246.17,2287.44
4,100,325199.63,5419.99
4,101,140790.44,2346.51
4,102,93764.87,1562.75
4,103,77070.86,1284.51
4,104,208612.57,3476.88
4,105,322351.14,5372.52
4,106,124730.14,2078.84
4,107,192964.78,3216.08
4,108,197426.62,3290.44
4,109,196642.4,3277.37
4,110,78647.65,1310.79
4,111,324080.52,5401.34
4,112,318980.9,5316.35
4,113,233993.66,3899.89
4,114,136350.27,2272.5
4,115,93939.09,1565.65
4,116,105417.68,1756.96
4,117,13757.34,229.29
4,118,104657.79,1744.3
4,119,80598.42,1343.31
4,120,82362.19,1372.7
4,121,77234.48,1287.24
4,122,75436.06,1257.27
4,123,79000.39,1316.67
4,124,80429.22,1340.49
4,125,84790.29,1413.17
4,126,83966.55,1399.44
4,127,70599.61,1176.66
4,128,88967.51,1482.79
4,129,66229.66,1103.83
4,130,83656.96,1394.28
4,131,126242.17,2104.04
4,132,150569.03,2509.48
4,133,259128.12,4318.8
4,134,223684.26,3728.07
4,135,95817.43,1596.96
4,136,81719.14,1361.99
4,137,143955.22,2399.25
4,138,121412.08,2023.53
4,139,59587.8,993.13
4,140,91306.1,1521.77
4,141,90438.2,1507.3
4,142,7034.44,117.24
4,143,208920.01,3482
4,144,58949.64,982.49
4,145,58928.37,982.14
4,146,185106.7,3085.11
4,147,97706.95,1628.45
4,148,203031.64,3383.86
4,149,75834.77,1263.91
4,150,132157.4,2202.62
4,151,63941.88,1065.7
4,152,154396.88,2573.28
4,153,82725.91,1378.77
4,154,16383.32,273.06
4,155,31803.54,530.06
4,156,97879.48,1631.32
4,157,148656.46,2477.61
4,158,148906.64,2481.78
4,159,180975.65,3016.26
4,160,199587.74,3326.46
4,161,170264.51,2837.74
4,162,167526.98,2792.12
4,163,171939,2865.65
4,164,166819.4,2780.32
4,165,141785.78,2363.1
4,166,132716.03,2211.93
4,167,158535.32,2642.26
4,168,128284.53,2138.08
4,169,139888.58,2331.48
4,170,298040.28,4967.34
4,171,80662.55,1344.38
4,172,12336.47,205.61
4,173,18415.73,306.93
4,174,22086.45,368.11
4,175,22587.96,376.47
4,176,326257.51,5437.63
4,177,23309.1,388.49
4,178,124927.35,2082.12
4,179,153759.99,2562.67
4,180,183656.42,3060.94
4,181,141872.9,2364.55
4,182,114149.88,1902.5
4,183,118406.73,1973.45
4,184,81712.37,1361.87
4,185,154040.06,2567.33
4,186,209049.35,3484.16
4,187,157052.28,2617.54
4,188,230646.85,3844.11
4,189,214135.69,3568.93
4,190,211410.53,3523.51
4,191,204044.12,3400.74
4,192,117628.38,1960.47
4,193,124727.26,2078.79
4,194,153514.25,2558.57
4,195,157980.42,2633.01
4,196,159474.48,2657.91
4,197,156244.3,2604.07
4,198,156764.81,2612.75
4,199,154184.81,2569.75
4,200,160388.05,2673.13
4,201,232173.04,3869.55
4,202,106859.33,1780.99
4,203,83708.02,1395.13
4,204,159570.42,2659.51
4,205,85572.22,1426.2
4,206,142881.45,2381.36
4,207,81776.33,1362.94
4,208,204083.81,3401.4
4,209,288584.16,4809.74
4,210,113251.96,1887.53
4,211,123545.27,2059.09
4,212,69828.93,1163.82
4,213,209867.53,3497.79
4,214,111298.48,1854.97
5,6,46187.31,769.79
5,7,16247.61,270.79
5,8,8322.87,138.71
5,9,249963.02,4166.05
5,10,237831.34,3963.86
5,11,303463.63,5057.73
5,12,326190.66,5436.51
5,13,82362,1372.7
5,14,80035.4,1333.92
5,15,47476.24,791.27
5,16,93273.9,1554.56
5,17,167364.17,2789.4
5,18,170443.68,2840.73
5,19,98791.81,1646.53
5,20,122638.17,2043.97
5,21,132967.37,2216.12
5,22,225316.85,3755.28
5,23,158135.62,2635.59
5,24,47487.49,791.46
5,25,159919.01,2665.32
5,26,94924.44,1582.07
5,27,268815.51,4480.26
5,28,148435.34,2473.92
5,29,205553.21,3425.89
5,30,244854.62,4080.91
5,31,242715.92,4045.27
5,32,242076.57,4034.61
5,33,220304.97,3671.75
5,34,234192.78,3903.21
5,35,236805.06,3946.75
5,36,210338.78,3505.65
5,37,241992.13,4033.2
5,38,250692.78,4178.21
5,39,252232,4203.87
5,40,134742.86,2245.71
5,41,134967.88,2249.46
5,42,136827.71,2280.46
5,43,267424.05,4457.07
5,44,252503.21,4208.39
5,45,134582.6,2243.04
5,46,252304.66,4205.08
5,47,135725.5,2262.09
5,48,333019.96,5550.33
5,49,135561.3,2259.36
5,50,254774.63,4246.24
5,51,250803.5,4180.06
5,52,122443.33,2040.72
5,53,134982.92,2249.72
5,54,342212.29,5703.54
5,55,231295.1,3854.92
5,56,294829.14,4913.82
5,57,300019.64,5000.33
5,58,149882.39,2498.04
5,59,73161.93,1219.37
5,60,256211.55,4270.19
5,61,235257.97,3920.97
5,62,217788.79,3629.81
5,63,228425.33,3807.09
5,64,198558.97,3309.32
5,65,147109.27,2451.82
5,66,152013.77,2533.56
5,67,79343.26,1322.39
5,68,227920.77,3798.68
5,69,171669.81,2861.16
5,70,48536.91,808.95
5,71,292164.56,4869.41
5,72,9460.74,157.68
5,73,18555.55,309.26
5,74,286395.91,4773.27
5,75,200175.96,3336.27
5,76,95008.63,1583.48
5,77,127984.99,2133.08
5,78,156076.03,2601.27
5,79,172200.54,2870.01
5,80,144133.61,2402.23
5,81,90115.39,1501.92
5,82,64935.78,1082.26
5,83,65856.36,1097.61
5,84,134202.56,2236.71
5,85,125714.59,2095.24
5,86,258496.71,4308.28
5,87,200823.69,3347.06
5,88,164806.91,2746.78
5,89,113519.79,1892
5,90,123559.48,2059.32
5,91,182478.6,3041.31
5,92,233436.99,3890.62
5,93,222091.66,3701.53
5,94,54390.92,906.52
5,95,278453.96,4640.9
5,96,210285.35,3504.76
5,97,191225.87,3187.1
5,98,200768.13,3346.14
5,99,217153.44,3619.22
5,100,310033.78,5167.23
5,101,96363.49,1606.06
5,102,165223.19,2753.72
5,103,156389.29,2606.49
5,104,155772.93,2596.22
5,105,305789.81,5096.5
5,106,118190.08,1969.83
5,107,169052.68,2817.54
5,108,182317.01,3038.62
5,109,179201.88,2986.7
5,110,129348.53,2155.81
5,111,384047,6400.78
5,112,378922.07,6315.37
5,113,295564.81,4926.08
5,114,85769.28,1429.49
5,115,165814.21,2763.57
5,116,183305.91,3055.1
5,117,78279.07,1304.65
5,118,181526.51,3025.44
5,119,101598.86,1693.31
5,120,103672.18,1727.87
5,121,100012.36,1666.87
5,122,93655.03,1560.92
5,123,90710.73,1511.85
5,124,90681.05,1511.35
5,125,91725.15,1528.75
5,126,92436.05,1540.6
5,127,89056.92,1484.28
5,128,106841.72,1780.7
5,129,82664.8,1377.75
5,130,151812.71,2530.21
5,131,192861.82,3214.36
5,132,216160.9,3602.68
5,133,315670.61,5261.18
5,134,168614.03,2810.23
5,135,96956.33,1615.94
5,136,1764.84,29.41
5,137,209067.46,3484.46
5,138,72213,1203.55
5,139,119773.93,1996.23
5,140,113985.49,1899.76
5,141,113046.68,1884.11
5,142,79416.68,1323.61
5,143,201373.24,3356.22
5,144,135719.49,2261.99
5,145,96724.35,1612.07
5,146,152829.1,2547.15
5,147,151483.73,2524.73
5,148,195148.92,3252.48
5,149,8456.1,140.94
5,150,86560.19,1442.67
5,151,47014.4,783.57
5,152,101755.58,1695.93
5,153,63754,1062.57
5,154,70984.12,1183.07
5,155,110748.88,1845.81
5,156,152470.55,2541.18
5,157,165661.97,2761.03
5,158,165283.95,2754.73
5,159,242207.36,4036.79
5,160,151445.33,2524.09
5,161,125593.8,2093.23
5,162,122961.36,2049.36
5,163,124331.5,2072.19
5,164,115443.42,1924.06
